"","atopid","polity","s_wt_glo","maxmajpow","consultatop","nagatop","neutatop","defenseatop","offenseatop","secrecy","conditio","intcom","base","contrib","ecaid","milaid","organ1","specthrt","macowe","maconc","maconp","nmacowe","nmaconc","nmaconp","nmaroir","condother","speclength","condlength","renounceok","renounceproh","renouncecond","milcontact","commondef","lallycount","lsumcap","ldistance","compel","prob","deter","deterministic","unconditional","PotMilCapacity.score","Depth.score","Scope.score","indx"
"186",2575,0,0.567,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.693,-1.378,7.036,1,0,1,1,1,0.806,-0.377,2.38,182
"187",2580,5,0.662,1,0,0,0,1,1,0,1,0,3,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.693,-1.731,8.201,1,0,1,1,1,0.812,2.056,2.495,183
"188",3005,6.667,-0.071,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,1.099,0.166,8.04,1,0,0,1,1,1.091,-0.495,2.35,184
"189",3010,2.65,0.947,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3.045,2.135,7.565,0,1,1,0,0,1.196,-0.498,-0.413,185
"190",3015,1.5,0.872,0,1,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3.135,-3.638,6.594,0,0,0,0,0,-0.975,0.464,-0.677,186
"191",3020,0,0.495,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-2.108,6.234,1,0,1,1,1,0.728,-0.489,2.458,187
"192",3025,0,0.508,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-2.056,0,1,0,1,1,1,0.721,-0.484,2.448,188
"193",3030,0,0.673,1,0,0,0,1,1,0,1,0,3,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.693,-1.553,0,1,0,1,1,1,0.774,0.936,2.548,189
"194",3035,0,0.976,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-3.788,6.246,0,0,1,1,1,-1.094,-0.507,0.937,190
"195",3040,5,0.73,1,1,0,0,1,0,0,0,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-2.151,7.725,0,0,1,1,0,0.726,2.656,-0.17,191
"196",3045,5,0.964,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-4.112,6.131,0,0,1,1,1,-1.126,-0.499,1.901,192
