"atopid","dem.prop","joint.democ","avg.democ","max.democ","min.democ","avg.democ.weight","max.threat","min.threat","mean.threat","maxcap.democ.min","maxcap.democ.max","maxcap.cons","maxcap.rec","maxcap.comp","maxcap.open","prop.open","prop.cons","maxcap.cont.std","maxcap.inc.std","maxcap.comp.lied","maxcap.open.lied","maxcap.lied","maxcap.poly"
1220,0,0,-1,-1,-1,-0.5,0.37756002,0.37756002,0.37756002,-1,0,0,0,0,0,0,0,0,0,0,0,1,0.249
1225,0,0,-3.33333333333333,3,-7,-0.0854656478951134,0.63286799,0.091848999,0.452528326333333,0,3,1,0,0,0,0,0.5,0,0,1,1,4,0.317
1227,0,0,-5.5,-4,-7,-1.09746018741359,0.59452003,0.45663199,0.483598326666667,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,0,0,-8.5,-7,-10,-4.35767817218106,0.87459701,0.41346198,0.644029495,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.031
1235,0,0,-2,-1,-3,-0.755838293975273,0.44920698,0.44920698,0.44920698,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.202
1240,0,0,-3,-1,-5,-1.99118986339339,0.43718499,0.43718499,0.43718499,-5,0,0,0,0,0,0,0,0,0,0,1,3,0.23
1245,0,0,-5.5,-4,-7,-2.88227655442765,0.94964898,0.60891503,0.779282005,-7,0,0,0,0,0,0,0,0,0,0,1,2,0.193
1255,0,0,-4.5,-3,-6,-2.58441729342336,0.47705799,0.47572699,0.47639249,-6,0,0,0,0,0,0,0,0,0,0,1,2,0.196
1260,0,0,-0.5,0,-1,-0.225686673448627,0.51751,0.47572699,0.496618495,0,0,0,0,0,0,0,0,0,0,0,1,3,0.249
1265,0,0,-5.5,-4,-7,-2.85251435274741,0.87115699,0.35874701,0.614952,-7,0,0,0,0,0,0,0,0,0,0,1,2,0.193
1270,0,0,-5,-4,-6,-2.65628256787325,0.58386403,0.56356204,0.573713035,-6,0,0,0,0,0,0,0,0,0,0,1,2,0.209
1272,0,0,-5.5,-4,-7,-2.16094866269805,0.56356204,0.48731899,0.525440515,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
1275,0,0,-7,-7,-7,-3.5,0.87115699,0.357602,0.614379495,-7,0,0,0,0,0,0,0,0,0,0,1,2,0.193
1280,0,0,-7,-7,-7,-3.5,0.87115699,0.48731899,0.67923799,-7,0,0,0,0,0,0,0,0,0,0,1,2,0.193
1285,0,0,-5.5,-4,-7,-3.46359566446748,0.87115699,0.48731899,0.67923799,-7,0,0,0,0,0,0,0,0,0,0,1,2,0.193
1287,0,0,-7,-7,-7,-6.95023924310809,0.87115699,0.357602,0.614379495,-7,0,0,0,0,0,0,0,0,0,0,1,2,0.193
1290,0,0,-6,-6,-6,-5.90140724898978,0.98297298,0.41157499,0.697273985,-6,0,0,0,0,0,NA,NA,0,0,0,1,2,0.208
1295,0,0,-1,3,-5,0.279958933513882,0.70409501,0.52696902,0.615532015,0,3,1,0,0,0,NA,1,0,0,1,1,4,0.341
1300,0,0,0.5,3,-2,0.636944110312295,0.60170603,0.52696902,0.564337525,0,3,1,0,0,0,NA,1,0,0,1,1,4,0.341
1305,0,0,-2,-1,-3,-0.857564977910379,0.59516901,0.59301901,0.59409401,-1,0,0,0,0,0,0,0,0,0,0,1,3,0.25
1310,0,0,-7,-4,-10,-3.4860642021319,0.813721,0.813721,0.813721,-4,0,0,0,0,0,0,0,0,0,0,1,2,0.236
1315,0,0,-6,-4,-10,-2.13004936657885,0.813721,0.475324,0.700922,-4,0,0,0,0,0,0,0,0,0,0,1,2,0.236
1320,0,0,3,3,3,3,0.66028798,0.66028798,0.66028798,3,3,-Inf,-Inf,-Inf,-Inf,NA,NA,0,0,1,1,5,0.493
1325,0,0,-7,-4,-10,-4.27949291831215,0.790196,0.45666301,0.623429505,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.03
1330,0,0,-3.5,3,-10,0.819633526439184,0.78898698,0.27642,0.53270349,0,3,1,0,0,0,0,0.5,0,0,1,1,4,0.365
1335,0,0,-4,-4,-4,-2,0.22366101,0.22366101,0.22366101,-4,0,0,0,0,0,0,0,0,0,0,1,2,0.217
1340,0,0,-6,-4,-10,-2.13982346607773,0.80308902,0.245882,0.431617673333333,-4,0,0,0,0,0,0,0,0,0,0,1,2,0.218
1345,0,0,-4.5,-4,-5,-2.0107490634179,0.80308902,0.21647701,0.509783015,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
1350,0,0,-4,-4,-4,-1.33333333333333,0.77371097,0.24132401,0.59624865,-4,0,0,0,0,0,0,0,0,0,0,1,2,0.221
1355,0,0,-5,-4,-7,-1.35962206038434,0.76662201,0.21137901,0.581120676666667,-4,0,0,0,0,0,0,0,0,0,0,1,2,0.221
1360,0.333333333333333,0,-0.333333333333333,7,-4,1.20039195765002,0.76114702,0.53355801,0.609868683333333,0,7,1,0,0,0,0,0.5,0,0,1,1,4,0.424
1365,0,0,-2,4,-4,-0.811725909768861,0.72955799,0.29751801,0.5238837575,-4,0,0,0,0,0,0,0.333333333333333,0,0,0,1,2,0.22
1370,0,0,-7,-4,-10,-3.28644844224062,0.72955799,0.209893,0.469725495,-4,0,0,0,0,0,0,0,0,0,0,1,2,0.22
1375,0.333333333333333,0,-0.333333333333333,7,-4,1.20039195765002,0.76114702,0.53355801,0.609868683333333,0,7,1,0,0,0,0,0.5,0,0,1,1,4,0.424
1380,0.5,0,-1.5,7,-10,-0.842502939556231,0.408191,0.408191,0.408191,-10,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.035
1385,0.5,0,-1.5,7,-10,-0.873142228468888,0.411174,0.411174,0.411174,-10,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0.036
1390,0,0,1,1,1,0.5,0.38936,0.38936,0.38936,0,1,1,0,0,0,0,1,0,0,0,1,2,0.157
1395,0,0,-8,-6,-10,-3.93346616759428,0.401227,0.382327,0.391777,-6,0,0,0,0,0,0,0,0,0,0,0,0,0.059
1400,0.5,0,1.5,7,-4,3.36914366059236,0.51842099,0.30715498,0.412787985,0,7,1,0,0,0,0,0.5,0,0,1,1,4,0.481
1410,0,0,-2.5,-1,-4,-1.40093779507282,0.81999701,0.81999701,0.81999701,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
