"atopid","year","mean.s.sc","low.s.sc","mean.pi.sc","low.pi.sc","mean.kap.sc","low.kap.sc"
1030,1819,-0.1067021,-0.1067021,-0.0267857,-0.0267857,0.1605839,0.1605839
1030,1820,-0.1172837,-0.1172837,-0.0267857,-0.0267857,0.1605839,0.1605839
1030,1821,-0.0799477,-0.0799477,0.034965,0.034965,0.1882353,0.1882353
1030,1822,-0.0558395,-0.0558395,0.0505495,0.0505495,0.1940299,0.1940299
1030,1823,0.8690908,0.8690908,0.1744472,0.1744472,0.2631579,0.2631579
1030,1824,0.8722748,0.8722748,0.1744472,0.1744472,0.2631579,0.2631579
1030,1825,0.8714661,0.8714661,0.1841492,0.1841492,0.2677824,0.2677824
1030,1826,0.8662136,0.8662136,0.1841492,0.1841492,0.2677824,0.2677824
1030,1827,0.8693387,0.8693387,0.1841492,0.1841492,0.2677824,0.2677824
1030,1828,0.8638801,0.8638801,0.1929047,0.1929047,0.272,0.272
1030,1829,0.8735046,0.8735046,0.1929047,0.1929047,0.272,0.272
1030,1830,0.8716077,0.8716077,0.2008457,0.2008457,0.2758621,0.2758621
1030,1831,0.8474026,0.8474026,0.1594203,0.1594203,0.2467532,0.2467532
1030,1832,0.848931,0.848931,0.1594203,0.1594203,0.2467532,0.2467532
1030,1833,0.5421907,0.5421907,0.1076923,0.1076923,0.2162162,0.2162162
1030,1834,0.5429913,0.5429913,0.1076923,0.1076923,0.2162162,0.2162162
1030,1835,0.5456825,0.5456825,0.1076923,0.1076923,0.2162162,0.2162162
1030,1836,0.5141053,0.5141053,0.1076923,0.1076923,0.2162162,0.2162162
1030,1837,0.5506062,0.5506062,0.068323,0.068323,0.1935484,0.1935484
1030,1838,0.5524598,0.5524598,0.068323,0.068323,0.1935484,0.1935484
1030,1839,0.5663639,0.5663639,0.0857143,0.0857143,0.2,0.2
1030,1840,-0.1490412,-0.1490412,0,0,0.1578947,0.1578947
1030,1841,0.5669053,0.5669053,0.1005291,0.1005291,0.2056075,0.2056075
1030,1842,0.5509148,0.5509148,0.1071429,0.1071429,0.2081448,0.2081448
1030,1843,0.5500712,0.5500712,0.0736842,0.0736842,0.1885246,0.1885246
1030,1844,0.557849,0.557849,0.0736842,0.0736842,0.1885246,0.1885246
1030,1845,0.5624964,0.5624964,0.0736842,0.0736842,0.1885246,0.1885246
1030,1846,0.5805516,0.5805516,0.080226,0.080226,0.1908548,0.1908548
1030,1847,0.5704257,0.5704257,0.05,0.05,0.1739131,0.1739131
1030,1848,0.5811342,0.5811342,0.0564516,0.0564516,0.1760563,0.1760563
1035,1815,NA,NA,NA,NA,NA,NA
1035,1816,0.944989066666667,0.9023803,0.5100469,0.2333333,0.555605116666667,0.3235294
1035,1817,0.943455233333333,0.8998369,0.5100469,0.2333333,0.555605116666667,0.3235294
1035,1818,0.942209933333333,0.8979176,0.5100469,0.2333333,0.555605116666667,0.3235294
1035,1819,0.9422407,0.8977109,0.5100469,0.2333333,0.555605116666667,0.3235294
1035,1820,0.943500566666667,0.8996127,0.5100469,0.2333333,0.555605116666667,0.3235294
1035,1821,0.973831183333333,0.9598816,0.549215316666667,0.3075269,0.586522216666667,0.3735408
1035,1822,0.9733926,0.9588562,0.55794735,0.3212121,0.592533133333333,0.3823529
1040,1816,1,1,1,1,1,1
1040,1817,1,1,1,1,1,1
1040,1818,1,1,1,1,1,1
1040,1819,1,1,1,1,1,1
1040,1820,1,1,1,1,1,1
1045,1827,0.732492466666667,0.6849542,0.9335107,0.9335107,0.9335107,0.9335107
1045,1828,0.732920166666667,0.6917665,0.9338422,0.9338422,0.9338422,0.9338422
1045,1829,0.7319226,0.6855245,0.9338422,0.9338422,0.9338422,0.9338422
1050,1831,0.8684434,0.8684434,0.1594203,0.1594203,0.2467532,0.2467532
1050,1832,0.8697417,0.8697417,0.1594203,0.1594203,0.2467532,0.2467532
1050,1833,0.5153527,0.5153527,0.0584415,0.0584415,0.1470588,0.1470588
1050,1834,0.5175237,0.5175237,0.0584415,0.0584415,0.1470588,0.1470588
1050,1835,0.5208524,0.5208524,0.0584415,0.0584415,0.1470588,0.1470588
1050,1836,0.4900168,0.4900168,0.0584415,0.0584415,0.1470588,0.1470588
1050,1837,0.527652,0.527652,0.0222222,0.0222222,0.1269841,0.1269841
1050,1838,0.5281621,0.5281621,0.0222222,0.0222222,0.1269841,0.1269841
1050,1839,0.5429848,0.5429848,0.0421769,0.0421769,0.1372549,0.1372549
1050,1840,-0.1726283,-0.1726283,-0.0413016,-0.0413016,0.0956522,0.0956522
1050,1841,0.542999,0.542999,0.0591195,0.0591195,0.1461187,0.1461187
1050,1842,0.5265936,0.5265936,0.0666666,0.0666666,0.1501104,0.1501104
1050,1843,0.5253819,0.5253819,0.0357143,0.0357143,0.1325301,0.1325301
1050,1844,0.5332472,0.5332472,0.0357143,0.0357143,0.1325301,0.1325301
1050,1845,0.5374163,0.5374163,0.0357143,0.0357143,0.1325301,0.1325301
1050,1846,0.5523842,0.5523842,0.0431035,0.0431035,0.1361867,0.1361867
1050,1847,0.5421715,0.5421715,0.0149551,0.0149551,0.1209965,0.1209965
1050,1848,0.5666471,0.5666471,0.0221794,0.0221794,0.1243523,0.1243523
1053,1832,NA,NA,NA,NA,NA,NA
1053,1833,NA,NA,NA,NA,NA,NA
1053,1834,NA,NA,NA,NA,NA,NA
1053,1835,NA,NA,NA,NA,NA,NA
1053,1836,NA,NA,NA,NA,NA,NA
1053,1837,NA,NA,NA,NA,NA,NA
1053,1838,NA,NA,NA,NA,NA,NA
1053,1839,NA,NA,NA,NA,NA,NA
1053,1840,NA,NA,NA,NA,NA,NA
1053,1841,NA,NA,NA,NA,NA,NA
1053,1842,NA,NA,NA,NA,NA,NA
1053,1843,NA,NA,NA,NA,NA,NA
1053,1844,NA,NA,NA,NA,NA,NA
1053,1845,NA,NA,NA,NA,NA,NA
1053,1846,NA,NA,NA,NA,NA,NA
1055,1832,1,1,1,1,1,1
1055,1833,1,1,1,1,1,1
1060,1832,0.3503472,0.3503472,0.462963,0.462963,0.462963,0.462963
1060,1833,0.3505671,0.3505671,0.462963,0.462963,0.462963,0.462963
1065,1833,0.913484666666667,0.870227,0.464970833333333,0.213419,0.4967866,0.2759527
1065,1834,0.910038366666667,0.8650575,0.464970833333333,0.213419,0.4967866,0.2759527
1065,1835,0.907631733333333,0.8614476,0.464970833333333,0.213419,0.4967866,0.2759527
1065,1836,0.9113543,0.8670314,0.464970833333333,0.213419,0.4967866,0.2759527
1065,1837,0.9042142,0.8563213,0.434687266666667,0.1681618,0.475163533333333,0.2451154
1065,1838,0.9038216,0.8557324,0.434687266666667,0.1681618,0.475163533333333,0.2451154
1065,1839,0.893933066666667,0.8408996,0.446904133333333,0.1864812,0.483529866666667,0.2560175
1070,1833,0.8396097,0.8396097,0.7811321,0.7811321,0.7819549,0.7819549
1070,1834,0.8336887,0.8336887,0.7811321,0.7811321,0.7819549,0.7819549
1070,1835,0.8368387,0.8368387,0.7811321,0.7811321,0.7819549,0.7819549
1070,1836,0.8449931,0.8449931,0.7811321,0.7811321,0.7819549,0.7819549
1070,1837,0.8416021,0.8416021,0.7818182,0.7818182,0.7826087,0.7826087
1070,1838,0.8398779,0.8398779,0.7818182,0.7818182,0.7826087,0.7826087
1070,1839,0.8414424,0.8414424,0.7830508,0.7830508,0.7837838,0.7837838
1070,1840,0.8594826,0.8594826,0.7830508,0.7830508,0.7837838,0.7837838
1070,1841,0.8511805,0.8511805,0.784127,0.784127,0.7848101,0.7848101
1070,1842,0.844349,0.844349,0.7846154,0.7846154,0.7852761,0.7852761
1070,1843,0.8389609,0.8389609,0.7850747,0.7850747,0.7857143,0.7857143
1070,1844,0.8469937,0.8469937,0.7850747,0.7850747,0.7857143,0.7857143
